Name,original_title,genre,year,origin country,Archive Link,IMDB Link,Case type,Material period from,Material period up to,Description,File number to quote,Creating body position,Subjects,Bodies,Place,Events,Persons
נשיכות קטנות,The Lost Boys,"Comedy, Horror",1987,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170681094528,https://www.imdb.com/title/tt0093437,תיק מסמכים,01/11/1988,31/12/1988," המועצה לביקורת סרטים ומחזות- הסרט ""נשיכות קטנות"" ",ISA-MOIN-InteriorFilmCensor-00112o7," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",התפתחות הקולנוע בישראל,צנזורה לסרטים ומחזות,,,
קללת אנשי החתול,Cat People,"Fantasy, Horror, Thriller",1982,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808add33,https://www.imdb.com/title/tt0083722,תיק מסמכים,21/07/1982,17/10/1982," המועצה לביקורת סרטים- ""קללת אנשי החתול"" ",ISA-MOIN-InteriorFilmCensor-000f9un," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",התפתחות הקולנוע בישראל,צנזורה לסרטים ומחזות,,,
תיק אודסה,The Odessa File,"Drama, Thriller",1974,"United Kingdom, West Germany",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808a7427,https://www.imdb.com/title/tt0071935,תיק מסמכים,04/01/1974,05/11/1974," ישיבת המועצה לביקורת סרטים ומחזות. אישור הקרנת הסרט ""תיק אודסה""
 ",ISA-MOIN-InteriorFilmCensor-000f797," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",צנזורה - כללי,צנזורה לסרטים ומחזות,,,
יומו של הארבה,The Day of the Locust,"Drama, Thriller",1975,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068086deb4,https://www.imdb.com/title/tt0072848,תיק מסמכים,22/07/1975,02/09/1975," התיק מכיל בקשה להצגת הסרט יומו של הארבה  (DAY OF THE LOCUST) שנשלחה למועצה לביקורת סרטים ומחזות, תוכן הסרט בטקסט ובתמונות, אישור המועצה, וזיכרון דברים מישיבת המועצה. ",ISA-MOIN-InteriorFilmCensor-000ekl0," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות "," צנזורה - כללי,אירועי תרבות ופסטיבלים ",צנזורה לסרטים ומחזות,,,
הניצוץ,The Shining,"Drama, Horror",1980,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f1e0c,https://www.imdb.com/title/tt0081505,תיק מסמכים,12/08/1980,24/08/1980," בקשה לרישיון הצגת הסרט ""הניצוץ"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות' בע""מ, תקציר עלילת הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d7dy," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
אהבה אטומית,I.Q.,"Comedy, Romance",1994,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680c897c2,https://www.imdb.com/title/tt0110099,תיק מסמכים,01/01/1995,31/12/1995," בתיק מסמכים הנוגעים לבחינת הסרט 'אהבה אטומית' על ידי המועצה לביקורת סרטים ומחזות. בתיק ניתן למצוא פרוטוקולים מישיבות הועדה, כרזות ומסמכים המתארים את הסרט והשחקנים בו. ",ISA-MOIN-InteriorFilmCensor-000q5jq," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",התפתחות הקולנוע בישראל,צנזורה לסרטים ומחזות,,,
ללכת עד הסוף,The Full Monty,"Comedy, Drama",1997,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808d8919,https://www.imdb.com/title/tt0119164,תיק מסמכים,18/08/1997,02/11/1997," התיק מכיל חליפת מסמכים בעניין הקרנת הסרט ""ללכת עד הסוף"" בישראל, אישורי המועצה לביקורת סרטים, וכן קובצי הסבר בעברית ובאנגלית על הסרט. ",ISA-MOIN-InteriorFilmCensor-000fqqv," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות "," צנזורה - כללי,אירועי תרבות ופסטיבלים ",צנזורה לסרטים ומחזות,,,
הזעם,The Fury,"Horror, Sci-Fi, Thriller",1978,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680881476,https://www.imdb.com/title/tt0077588,תיק מסמכים,04/07/1978,05/10/1978," תיק של משרד הפנים.
תכתובת של חברי המועצה לביקורת סרטים ומחזות בדיון אילו סרטים מותרים להקרנה ואילו לא.
מתן רישיון להקרנה עבור הסרט - ""הזעם"" - עם הגבלה של הורדת קטע מהמערכה האחרונה.
עוד בתיק - תקציר הסרט - ""הזעם"" - בעברית ובאנגלית. ",ISA-MOIN-InteriorFilmCensor-000es8l," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
באטמן,Batman,"Action, Adventure",1989,"United States, United Kingdom",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842f13,https://www.imdb.com/title/tt0096895,תיק מסמכים,30/07/1989,27/08/1989," בקשה לרישיון הצגת הסרט ""באטמן"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3hq," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
התנפצות,Shattered,"Crime, Drama, Mystery, Thriller",1991,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680831372,https://www.imdb.com/title/tt0102900,תיק מסמכים,09/01/1992,27/01/1992," בקשה לרישיון הצגת הסרט ""התנפצות"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dwfu," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
